code,公司,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg
1464,得力,0.006625693,1034512,9.341603855,-0.113679442,-3.96,0,0.00315395,1.19,0.03
1465,偉全,0.028715368,107479,0.92294205,-0.117759782,-52.26,0,-0.013218647,-1.27,-0.01
1466,聚隆,-0.043854272,93241,-1.617964794,-0.045384045,-3.7,0,-0.004162357,2.16,0.04
1467,南緯,-0.026092681,220244,-2.021052095,-0.026148126,-3,0,-0.007685668,0.47,0
1468,昶和,0.011504417,-34019,-2.065958514,3.732714162,26.2,0,0.000738402,-3.72,0.01
1470,大統新創,0.031096754,144744,3.063673882,-0.104300385,-37.06,0,-0.005400653,-0.79,-0.05
1471,首利,0.019251155,101763,2.192865211,-0.030962044,-213.05,0,-0.002884786,4.25,0
1472,三洋實業,0.046054821,174787,0.423648329,0.175173714,-40.24,0,0.012298649,0.92,0
1473,台南,0.056992901,524707,0.694133411,-0.100038602,-19.93,0,0.008419383,0.15,-0.01
1474,弘裕,-0.019406625,-131466,0.799277366,-0.052043835,-1.46,0,-0.004125973,0.06,0.03
1475,業旺,0.172194574,318102,0.144770651,-1,-43.57,0.434623876,0.020454652,0.26,-0.01
1476,儒鴻,0.162299658,4664144,-0.097223195,0.018962164,27.13,0,0.039529837,0.41,0.01
1477,聚陽,0.15845337,5785049,0.467673776,-0.090399807,8.95,0,0.033016218,0.13,-0.01
1503,士電,0.043325439,4446076,0.909611547,0.01269695,0.68,0,0.00571446,0.05,-0.01
1504,東元,0.046391235,6232907,0.055308077,-0.071237109,-13.31,0,0.008168379,0.25,0
1506,正道,0.023087428,209934,1.861305711,-0.038203794,-23.26,0.00066342,0.002119944,-0.14,0
1512,瑞利,-0.036702212,-168151,1.118678023,-0.054296391,-15.87,0,-0.0150928,0.03,0.01
1513,中興電,0.034288607,7213170,3.762592379,-0.085024432,-4.63,0,0.016390616,-2.01,0.02
1514,亞力,0.069561144,-105839,-1.135429369,-0.263182326,3.99,0,0.026920367,0.72,0.12
1515,力山,0.037268456,2069557,5.027543323,-0.265411959,3.48,0,0.017465248,2.42,0.16
1516,川飛,0.027311189,-157350,-12.91955155,-1,-11575.48,0,-0.011586382,-0.02,-0.02
1517,利奇,-0.041085292,435306,-3.34803012,-0.080381625,189.7,0,-0.023618314,-1.64,0
1519,華城,0.167981437,4281300,0.67161622,-0.726292483,-4.8,0,0.063542802,0.45,0.17
1521,大億,0.012754417,437577,9.220418555,0.036732299,0.6,0,-0.015309465,0.11,0.02
1522,堤維西,0.046064329,3852371,2.237632083,0.006754667,-1.68,0,0.010118339,1.24,-0.01
1524,耿鼎,0.064770329,908972,1.63193982,-0.035536142,-20.43,0,0.013760526,1.46,0.01
1525,江申,0.070137345,106328,-0.736430227,0.312444485,121.79,0,0.012074101,-0.41,-0.01
1526,日馳,0.017012572,-163863,-4.603285249,0.022518156,-7.84,0,-0.010091899,-0.9,-0.04
1527,鑽全,0.067560548,422770,0.183245311,-0.281052836,40.56,0,0.005965769,1.41,-0.01
1528,恩德,-0.005521952,-134192,3.373639267,0.375766428,8.42,0,-0.012499559,-1.96,0.04
1529,樂事綠能,0.021704252,150688,1.212745962,0.03761051,31.99,0,0.008086838,-1.24,0.02
1530,亞崴,0.010686207,399439,5.269643698,0.013058656,-2.76,0,-0.010298648,-1.03,-0.02
1531,高林股,-0.012170288,298878,-6.892472694,-0.066957298,22.89,0,-0.007708677,0.66,-0.01
1532,勤美,0.024134181,2901238,1.220013529,0.109957898,3.85,0.003280909,0.005767926,0.72,0
1533,車王電,-0.027672708,-495542,1.131821897,0.001492968,9.26,0,-0.007546696,1.49,0
1535,中宇,0.083136885,-422325,-1.742234939,0.016106615,1.89,0,0.025272032,0.27,0.1
1536,和大,0.01436996,852245,1.656276298,-0.052487946,-10.82,0,-0.003503774,-1.5,-0.01
1537,廣隆,0.107461255,973715,0.610753521,0.021275651,23.2,0,0.024636801,-0.01,0.04
1538,正峰,-0.072848284,29196,-2.213567213,-0.617925981,-27.6,0,-0.00073626,-3.12,-0.01
1539,巨庭,0.024693181,237235,2.813822262,0.172680447,-0.25,0,-0.000231466,0.82,0.01
1540,喬福,0.06300828,207304,0.914341121,-0.521893713,27.59,0,0.011411946,4.86,0.04
1541,錩泰,0.028955143,179446,0.557812676,0.347445299,-18.39,0,0.008147898,0.37,0.05
1558,伸興,0.051226854,2204063,2.586910105,0.059114736,8.29,0,0.011885452,1,0
1560,中砂,0.08805882,1289223,0.484390688,-0.010864868,8.66,0.001736098,0.017462118,0.52,0
1568,倉佑,0.068928235,326937,0.808239862,-0.306211071,-16.45,0,0.022803586,-1.07,0
1582,信錦,0.047707183,1171349,1.038365895,-0.009553297,39.99,0,0.015648575,1.16,0.02
1583,程泰,0.030893189,1285207,2.140365152,-0.485586196,-13.37,0,5.38611E-05,-0.25,0.01
1587,吉茂,0.011142805,345472,8.298379717,0.257396861,2.84,0,-0.000134671,-0.1,0
1597,直得,0.024789481,-21057,-1.2147753,0.109437227,29.64,0,-0.001855012,-0.32,-0.01
1598,岱宇,-0.007060924,616610,-8.735472702,-0.053016466,-0.01,0,0.004994362,0.39,0.06
1603,華電,0.045965192,-450214,-1.954201046,-0.000716967,17.71,0,0.012976082,0.23,0
1604,聲寶,0.049538995,821965,0.064380956,-0.056366083,-18.26,0,0.004098269,-0.82,-0.05
1605,華新,0.018038275,22747930,3.734362487,-0.023338283,-12.07,0,0.00112993,-0.56,-0.01
1608,華榮,0.041294116,996551,0.812870082,0.000592088,16.27,0,0.010418889,0.1,0.02
1609,大亞,0.019060674,2787378,2.146188177,0.043673654,-4.42,0.025231576,0.008824174,0.83,0.01
1611,中電,0.020003292,245714,1.24654854,-0.046972649,4.65,0,0.003154578,-0.1,0.01
1612,宏泰,0.069993464,366081,-0.384403634,-0.13180329,-157.25,0,0.017633734,0.18,0.01
1614,三洋電,0.045860405,752136,1.369447218,0.007286413,54.72,0,0.009466997,0.88,-0.04
1615,大山,0.112579433,253562,-0.49961617,-0.013215179,28.26,0,0.03975004,0.32,0.1
1616,億泰,0.068614855,361682,0.57676714,-0.002779901,8.27,0,0.029678428,0.6,0.06
1617,榮星,-0.005586128,152187,-9.420216886,-0.034948009,-14.72,0,-0.012224186,-0.34,0.02
1618,合機,0.065574521,-228674,-1.566195732,0.139823355,1.45,0,0.023003131,2.36,0.02
1701,中化,0.025033055,601909,0.869015606,0.211608356,7.57,0,0.008247027,-0.55,0.01
1702,南僑,0.041187714,3015993,1.418203437,-0.060778295,-7.8,0,0.016182965,0.91,0.02
1707,葡萄王,0.138098437,2519402,0.17610301,-0.035468402,0.12,0,0.035695167,-0.21,0.02
1708,東鹼,-0.002461329,884603,-28.48323857,0.126661003,16.46,0,0.006870917,4.8,0.01
1709,和益,0.031427555,796339,1.095656522,-0.047307027,11.67,0,0.005569331,-0.48,0
1710,東聯,-0.029535113,35003,-1.035897494,0.038370721,3,0,-0.007830417,0.04,0
1711,永光,0.007624997,1336175,12.5834316,-0.056636012,-7.48,0,-0.00034018,0.36,-0.01
1712,興農,0.075397805,2513859,1.171307081,-0.022080958,6.3,0,0.014949053,-0.14,-0.02
1713,國化,0.116179861,106783,-0.695223553,-0.015553975,104.3,0,0.015595914,1.07,0.01
1714,和桐,0.039319672,1593269,0.792863067,-0.029907675,29.13,0,0.010245883,0.24,0.03
1717,長興,0.02572897,6514052,3.325029264,-0.200881676,-37.03,0,0.007575462,-0.01,0.01
1718,中纖,0.004824157,25520004,4.863559226,-0.003159777,0.15,0,0.001241012,-1.31,0
1720,生達,0.102883671,1336523,0.161045992,0.15090871,19.45,0,0.01660258,-0.11,-0.01
1721,三晃,-0.070959909,119733,-1.453137596,0.219794116,33.74,0,-0.013598737,3.4,0.01
1722,台肥,0.051900646,6058527,0.431856485,-0.005337462,-8.77,0,0.006425952,-3.39,-0.01
1723,中碳,0.124033485,1107316,-0.21581186,0.754768569,70.64,0,0.017041941,-0.41,-0.05
1725,元禎,0.027606974,274613,0.357293252,-0.077015303,19.73,0,0.000741569,-0.15,-0.01
1726,永記,0.071319287,1578264,0.914602162,0.12191378,-14.19,0,0.017340276,0.84,0.01
1727,中華化,0.010515335,219050,6.316788029,-0.391188904,-42.06,0,-0.003905086,-0.33,-0.02
1730,花仙子,0.102000951,451016,0.729866563,-0.065762845,-1.12,0,0.021848005,-0.17,-0.01
1731,美吾華,0.059634451,244319,0.446624706,0.085281297,6.79,0,0.00902833,0.36,0.01
1732,毛寶,-0.009243352,31832,-6.282442748,-0.045745383,-36.35,0,-0.007484387,0.13,-0.01
1733,五鼎,0.059840122,230391,0.676143846,-0.024399214,-9.02,0,0.012860999,0.52,-0.01
1734,杏輝,0.05625427,296370,-0.157201763,-0.002125876,12.17,0,0.019096988,0.34,0
1735,日勝化,0.023386823,456881,4.924133192,-0.100933749,-1.23,0,0.007976071,0.79,0.02
1736,喬山,0.020494928,3842551,4.147677782,0.091725192,5.59,0,0.018328153,0.73,0.11
1737,臺鹽,0.025378308,454539,1.152774686,0.074037079,-13.81,0,-0.003075412,0.3,-0.02
1752,南光,0.050349972,342605,0.764568032,0.548755481,-2.41,0,-0.009462674,0.06,-0.01
